,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
152,22,Sat,11/2/2023,,Volos NFC,Atromitos,2,1,0.5,1.1,,,NA,Dimotiko Stadio Neapolis Volou,
153,22,Sat,11/2/2023,,AEK Athens,Levadiakos,3,0,3,0.1,,,NA,Olympiako Stadio Spyros Louis,
154,22,Sat,11/2/2023,,PAS Lamia,OFI Crete,1,4,1.3,1.3,,,NA,Dimotiko Athlitiko Kentro Lamias,
155,23,Sat,18/2/2023,,Atromitos,Levadiakos,1,0,1.5,0.4,,,NA,Stadio Peristeriou,
156,23,Sat,18/2/2023,,PAS Lamia,Olympiacos,0,3,0.2,1.8,,,NA,Dimotiko Athlitiko Kentro Lamias,
157,23,Sat,18/2/2023,,PAOK,AEK Athens,2,0,0.5,0.8,,,NA,Stadio Toumbas,
158,23,Sat,18/2/2023,,OFI Crete,Aris,0,3,0.8,1.7,,,NA,Stadio Thódoros Vardinoyánnis,
159,23,Sat,18/2/2023,,Panetolikos,Ionikos,1,0,0.8,0.4,,,NA,Stadio Panetolikou,
160,23,Sat,18/2/2023,,Panathinaikos,Volos NFC,2,0,3.8,0,,,NA,Stadio Apóstolos Nikolaidis,
161,23,Sat,18/2/2023,,Asteras Tripoli,PAS Giannina,1,1,0.4,1,,,NA,Stadio Theodoros Kolokotronis,
162,24,Sat,25/2/2023,,AEK Athens,Asteras Tripoli,2,0,3.7,0,,,NA,Olympiako Stadio Spyros Louis,
163,24,Sat,25/2/2023,,Aris,Atromitos,2,1,1.3,0.4,,,NA,Stadio Harilaou Kleánthis Vikelídis,
164,24,Sat,25/2/2023,,PAS Giannina,PAOK,0,0,0.2,0.6,,,NA,Stadio Zosimades,
165,24,Sat,25/2/2023,,Levadiakos,Panetolikos,0,0,0.4,0.4,,,NA,Stadio Levadias,
166,24,Sat,25/2/2023,,Olympiacos,Panathinaikos,0,0,0.9,0.2,,,NA,Stadio Georgios Karaiskáki,
167,24,Sat,25/2/2023,,Ionikos,OFI Crete,0,2,0.8,1.7,,,NA,Dimotiko Gipedo Neapolis Nikaias,
168,24,Sat,25/2/2023,,Volos NFC,PAS Lamia,1,1,1.2,1,,,NA,Dimotiko Stadio Neapolis Volou,
169,25,Sat,4/3/2023,,Asteras Tripoli,Atromitos,1,1,0.5,1.1,,,NA,Stadio Theodoros Kolokotronis,
170,25,Sat,4/3/2023,,OFI Crete,AEK Athens,0,3,0.8,1.4,,,NA,Stadio Thódoros Vardinoyánnis,
171,25,Sat,4/3/2023,,Olympiacos,Levadiakos,6,0,3.4,0.3,,,NA,Stadio Georgios Karaiskáki,
172,25,Sat,4/3/2023,,Panathinaikos,Panetolikos,2,0,3.2,0.3,,,NA,Stadio Apóstolos Nikolaidis,
